Output[82]: {-0.596794,0.513753}	FIRST SYMBOL	Pass
Output[83]: {0.790235,0.088759}	FIRST SYMBOL	Pass
Output[84]: {-0.649056,-0.621852}	FIRST SYMBOL	Pass
Output[85]: {-0.030823,0.801503}	FIRST SYMBOL	Pass
Output[86]: {0.654505,-0.629207}	FIRST SYMBOL	Pass
Output[87]: {-0.873289,0.036809}	FIRST SYMBOL	Pass
Output[88]: {0.627658,0.632297}	FIRST SYMBOL	Pass
Output[89]: {-0.08784,-0.830913}	FIRST SYMBOL	Pass
Output[90]: {-0.564516,0.703369}	FIRST SYMBOL	Pass
Output[91]: {0.84204,-0.088151}	FIRST SYMBOL	Pass
Output[92]: {-0.722244,-0.585617}	FIRST SYMBOL	Pass
Output[93]: {0.112252,0.853956}	FIRST SYMBOL	Pass
Output[94]: {0.490511,-0.649116}	FIRST SYMBOL	Pass
Output[95]: {-0.802969,0.082475}	FIRST SYMBOL	Pass
Output[96]: {0.61916,0.435036}	FIRST SYMBOL	Pass
Output[97]: {-0.137886,-0.677631}	FIRST SYMBOL	Pass
Output[98]: {-0.384004,0.58323}	FIRST SYMBOL	Pass
Output[99]: {0.68083,-0.035221}	FIRST SYMBOL	Pass
Output[100]: {-0.445187,-0.386882}	FIRST SYMBOL	Pass
Output[101]: {0.072525,0.494955}	FIRST SYMBOL	Pass
Output[102]: {0.383074,-0.465022}	FIRST SYMBOL	Pass
Output[103]: {-0.56739,-0.020063}	FIRST SYMBOL	Pass
Output[104]: {0.372922,0.424051}	FIRST SYMBOL	Pass
Output[105]: {-0.038098,-0.509336}	FIRST SYMBOL	Pass
Output[106]: {-0.4284,0.371008}	FIRST SYMBOL	Pass
Output[107]: {0.30785,0.077622}	FIRST SYMBOL	Pass
Output[108]: {-0.219989,-0.391668}	FIRST SYMBOL	Pass
Output[109]: {-0.136679,0.415028}	FIRST SYMBOL	Pass
Output[110]: {0.329351,-0.137399}	FIRST SYMBOL	Pass
Output[111]: {-0.336402,-0.170144}	FIRST SYMBOL	Pass
Output[112]: {0.052367,0.363856}	FIRST SYMBOL	Pass
Output[113]: {0.226404,-0.235519}	FIRST SYMBOL	Pass
Output[114]: {-0.388718,-0.036892}	FIRST SYMBOL	Pass
Output[115]: {0.221931,0.286041}	FIRST SYMBOL	Pass
Output[116]: {0.035165,-0.405927}	FIRST SYMBOL	Pass
Output[117]: {-0.353149,0.117942}	FIRST SYMBOL	Pass
Output[118]: {0.404322,0.159147}	FIRST SYMBOL	Pass
Output[119]: {-0.158507,-0.418203}	FIRST SYMBOL	Pass
Output[120]: {-0.182592,0.336355}	FIRST SYMBOL	Pass
Output[121]: {0.42494,-0.129389}	FIRST SYMBOL	Pass
Output[122]: {-0.451128,-0.23662}	FIRST SYMBOL	Pass
Output[123]: {0.055901,0.455572}	FIRST SYMBOL	Pass
Output[124]: {0.311032,-0.37243}	FIRST SYMBOL	Pass
Output[125]: {-0.582977,0.063691}	FIRST SYMBOL	Pass
Output[126]: {0.402607,0.362181}	FIRST SYMBOL	Pass
Output[127]: {0.044977,-0.621259}	FIRST SYMBOL	Pass
Output[128]: {-0.464603,0.402701}	FIRST SYMBOL	Pass
Output[129]: {0.662002,0.075224}	FIRST SYMBOL	Pass
Output[130]: {-0.424717,-0.495642}	FIRST SYMBOL	Pass
Output[131]: {-0.007197,0.626965}	FIRST SYMBOL	Pass
Output[132]: {0.487456,-0.365408}	FIRST SYMBOL	Pass
Output[133]: {-0.60811,-0.064869}	FIRST SYMBOL	Pass
Output[134]: {0.437405,0.55763}	FIRST SYMBOL	Pass
Output[135]: {0.114429,-0.621133}	FIRST SYMBOL	Pass
Output[136]: {-0.695631,0.467635}	FIRST SYMBOL	Pass
Output[137]: {0.737698,0.159194}	FIRST SYMBOL	Pass
Output[138]: {-0.404666,-0.654616}	FIRST SYMBOL	Pass
Output[139]: {-0.147529,0.725431}	FIRST SYMBOL	Pass
Output[140]: {0.664168,-0.445572}	FIRST SYMBOL	Pass
Output[141]: {-0.704193,-0.145332}	FIRST SYMBOL	Pass
Output[142]: {0.435385,0.710346}	FIRST SYMBOL	Pass
Output[143]: {0.264015,-0.857396}	FIRST SYMBOL	Pass
Output[144]: {-0.687736,0.346446}	FIRST SYMBOL	Pass
Output[145]: {0.763193,0.19406}	FIRST SYMBOL	Pass
Output[146]: {-0.424645,-0.709712}	FIRST SYMBOL	Pass
Output[147]: {-0.27057,0.784434}	FIRST SYMBOL	Pass
Output[148]: {0.693706,-0.470563}	FIRST SYMBOL	Pass
Output[149]: {-0.794926,-0.126671}	FIRST SYMBOL	Pass
Output[150]: {0.409704,0.723858}	FIRST SYMBOL	Pass
Output[151]: {0.191965,-0.747721}	FIRST SYMBOL	Pass
Output[152]: {-0.77758,0.462387}	FIRST SYMBOL	Pass
Output[153]: {0.73461,0.126597}	FIRST SYMBOL	Pass
Output[154]: {-0.4018,-0.600647}	FIRST SYMBOL	Pass
Output[155]: {-0.186726,0.771747}	FIRST SYMBOL	Pass
Output[156]: {0.551591,-0.4312}	FIRST SYMBOL	Pass
Output[157]: {-0.770493,-0.078353}	FIRST SYMBOL	Pass
Output[158]: {0.554309,0.540748}	FIRST SYMBOL	Pass
Output[159]: {-0.01619,-0.734238}	FIRST SYMBOL	Pass
Output[160]: {-0.504643,0.513817}	FIRST SYMBOL	Pass
Output[161]: {0.655051,0.001849}	FIRST SYMBOL	Pass
Output[162]: {-0.459662,-0.472212}	FIRST SYMBOL	Pass
