Real	Imaginary
be01c800	c0a11460
c0b71550	3ebc8800
c03112a0	c037bc00
c013ba40	c02d4a20
c0d0af40	c01de340
40146be0	c0a4b670
bfe80d00	c089c0e0
40ac5290	40ae5db0
c08b5980	bfff7f40
c03bd5a0	bfb265c0
c0de0620	bf9fe4c0
bf9bdb80	411d1c40
3f155980	c03f8900
c01770a0	40173380
bd352000	c08b4bf0
40089320	be38f400
4080c860	402a3b60
c040a3c0	40a87df0
bf8d29c0	c0b57b30
4063eaa0	403d3800
bf8e0d80	c0bbabe0
3f62bd00	3f486f80
3f016880	4012b340
40e92600	bf904c80
404c9500	3fc17900
4026aac0	40918640
c0b37ba0	be773e00
c08f4610	bd8b4000
bf296980	bf442380
c0821ab0	beae7900
bf07b300	40a28930
c0923170	40b412f0
40d6ff50	409137d0
409ecfc0	3f00ba00
400b4640	3d2f8800
3fcecbc0	bfd7dd00
c09d4cc0	40ae2470
c060a280	3ec00500
40305280	bfc1df40
c083f100	4087ed90
bfd7f000	405a6820
bfd04bc0	3fb31300
c0a0ad40	bee96200
3fd7ce00	c0a4b1a0
3fa87bc0	bfcf9880
404b3d40	40161200
c0d2ed50	c0c23f40
40999e60	bfce5200
409a3d10	3fc9e480
bf1bb380	bffca340
c00a6d80	bf2c9b80
40844ae0	c0cde2f0
4078b120	bde85c00
be4ff800	c04a3040
40b55e30	3fad4100
3f925680	c074c200
40573540	c0d32400
c052ffc0	3fffd700
3fb8fb80	40d78be0
bec76300	40ad7610
c0ba7200	c040a340
40c5fe50	409ed820
40a0b2f0	400c72c0
3fa96600	c10460f8
c077ae00	c0235ba0
3fb8ee00	3e7b1400
bf5b6080	bebedc00
40558120	c01a54e0
3ebf1b00	401f1d40
bd5f1000	409d5460
3f835100	40bac770
bf61ad80	c09dce10
bf0c3b00	4107b4a0
bfe7f800	40c2b2f0
c03102c0	c05098a0
40069880	40ae33c0
c038c380	bfc55180
c0bbc410	bdf42400
4022a300	c10678e8
bd015000	c03c83c0
3f030480	3fd31ac0
40974860	bfe48b40
4016e820	bf036000
beb19e00	4031c440
c1118e70	c00023e0
c0a960a0	c0205bc0
3f168c00	4003b3a0
bf31cc80	beae6700
c01b0220	c046b140
406af8e0	3eb96f00
bf19b600	3fcb4680
c0c0bcf0	3e96ca00
40cf47f0	be0e6400
c0bd4120	404d67c0
c045df60	c09657c0
3f98b4c0	bf735d80
40408e60	3f557c80
40c91d50	c070efa0
c0e76900	41291770
bfebb780	3fd930c0
408cc6e0	c0a801e0
403359c0	3fd74e80
c01a40e0	beec9200
c0c08470	40370180
bfa9f5c0	409f31a0
40c045c0	4009ab80
40ba0d40	c0da9eb0
40e75750	3fd34bc0
c0aebf20	4079c0e0
c06d56e0	3f6f9c80
c01a2ce0	4025bbc0
c0498480	403d8c40
4038df80	c0160b80
c0ee3700	40999460
be648200	3f815100
bfa209c0	bf80ebc0
3efc7600	be430600
bfa43600	40ac34c0
c063e420	c00dad00
3f9c5c40	40da72f0
c011ad40	40c8cd60
c02b42a0	bf5c4480
40aaca60	c0b641c0
3f674b00	4020a620
c01bb620	c024aaa0
40973d60	403e5020
3e034200	c0863670
40115d40	bee26900
3f8a7e40	c1306f20
3ee70900	bf86e4c0
409163c0	3ff05fc0
c03d3040	3f314880
c0acaff0	400050a0
3fe12200	40d867a0
3f042280	c0a8c080
c05a0540	4086adc0
c09a48a0	bfda1380
3fa9a640	c0294a60
3f938200	40a91660
bf81d980	4081c800
40bf4af0	3f998300
3d3a4800	40113660
402015c0	c0a0c840
40649a80	c0abdc30
40f5da90	40188a00
c1350258	40a88390
c09349e0	3eaf5500
bf6f2100	bf55e300
40ca3c30	3e69fe00
40968be0	3f674f80
3ff3d5c0	c05f9660
40661040	3deb0000
bffe8140	c0010f60
40634f40	c06ac540
c074e160	c01096e0
c0209920	bfc25600
40009ae0	bf934fc0
3f657980	40be0440
c057cbe0	3f305980
c0586aa0	c05b1ac0
3eb8d900	3fd73000
bed6da00	c0968800
c06324e0	c0c25c00
bfe012c0	3e1d4600
404c99e0	bfa4b840
bfdaef00	c085b140
c085cf50	c0f5c880
404c7000	40c0f450
40d4f380	400b00c0
c01bbde0	bf006280
c0c32110	bfc87c00
3fb13a00	402473e0
404303c0	409458d0
c10d9f30	409bb970
c0987260	bfb9cf80
c0ae9a90	3f8ae940
40812e40	c08158b0
c052ac60	40a3f250
3ee55f00	c0281620
400d5800	c040cc80
3fb7a480	c03df780
c01bbf80	409d52a0
c0444a00	409f7780
c08b2190	c0370b40
4109d2a8	c0ef3e90
400dac00	bd21c000
c08d92e0	be7c5e00
c0b51fd0	bfa98000
40867cd0	40074a80
c0a33f70	c08a1d40
c06ffee0	c0c64ec0
bfeff800	40d18c10
409cc0c0	c0c9d1f0
bfd9b940	c0865a10
3f0f1d00	bd898c00
3f846b40	40334760
c0e61440	3f352280
bfc37e00	c09edf80
c0287ca0	c0322d20
c0239e20	c06a7dc0
bfad9b00	c084c010
c00941c0	40352f00
bf831600	3ff68140
bf892c00	41393c70
3e4c8c00	bfd2cec0
3e9ac700	3f820700
c03fbc60	bf3e2200
c04fe7e0	bfab7ac0
40fe14b0	c0bd06f0
bfba3e00	40228860
4074b0a0	3f8bea80
3faf2280	bf2b5a80
bf99b540	3fa02a00
bdf75000	409cf570
405fb000	c0e4cf00
c09feb40	c08fcd60
c118f7e0	bf66e400
3e73d400	411067b8
c05d0e40	c012b460
408160e0	403b3c40
c06ed440	40c365c0
c0c44120	3fa05e40
3fb224c0	403ac7e0
3fd5a1c0	bdf35000
c0729920	3f5c1a00
411458a0	c044b9a0
3fba9ac0	c0437300
bfc7d080	c00a64a0
3fd31f80	c075a6a0
beec7b00	4021b6e0
c0137560	c1125e28
c042c1e0	bff1fd40
c0c889c0	3e53d800
3f3d5400	c09f5af0
40b50be0	c03f5920
3f209080	c0d41720
bf3aa800	402d75e0
c0c708e0	c0651e20
4024f5e0	c008c340
c0bf1a00	bf24ba80
c0c27a40	3f9f36c0
c0931240	4079c620
c054f340	bd87b000
bff06b40	bee73200
c051d5a0	bf340280
c0b2e880	c09fe920
bf900a40	40204240
3feaf580	405e6020
c0660640	bf2aa480
beb21400	bf32eb80
4004e0e0	c0648ae0
3f84e480	c0daadb0
3d0e3800	bfc79d00
c00a08a0	4002e500
3f3d3780	c07ace00
3f0d9e00	40607420
3ffdb2c0	c01a1420
4070f040	bf9f1740
3fe0c140	bfd13c40
404cb820	c0454000
40523880	bffc4240
bc16c000	40300660
bfb83180	c09e8af0
3f9d52c0	402b3e80
c024af40	bff68080
40453260	40a36990
c03da320	4061fec0
be282200	c099ac20
409c6320	c0168b20
bddcf400	40467d00
40ed62f0	3ffc7080
c0c66330	c05197c0
3f53b300	bf63bd00
40035760	c0128060
bf8dc2c0	be0ad200
410132c8	bf9a0240
40dcb370	3f3eb880
400381a0	c00bc9e0
bfc56f80	3fea63c0
c0356460	c0c7a080
c0ad8940	bfa7f000
bf99ed40	4033eda0
c06b9000	3fa45680
c0d30840	bff5d240
40a07a30	3ebb2400
be5a6a00	c00f1ba0
405e9d40	c01ad3a0
c0fdadc0	be479600
c034b2e0	c07bc5a0
40043ca0	4027fa20
4000f200	c0e21a50
bfb4c900	40f60160
40e09960	bf098180
3fcb96c0	40173ba0
3f061a80	41042c00
40a18710	bfe6d900
c0f221a0	c0ae90a0
404d0a40	404fe8c0
c0657280	bf356280
3f09b700	40aec410
c03bfc60	c0290b00
bdf6f400	c0a39cd0
c058bae0	40132f00
3ecfde00	4096f8e0
c0316520	bf57b900
40fa89e0	c091d950
c04e5760	4058bfa0
40816360	403292a0
c074ee60	bfc14d00
c0a42eb0	bf525a80
40b26080	bf578580
3f956f40	bfe06780
3f133c80	bfe01200
c0987920	c0557de0
c02dc480	40a16be0
404eeac0	40c7caa0
c0ab0dc0	c04e4960
c0ffe560	bdff1800
bfe6bc00	40823a40
40cad3c0	c0cb39b0
c062a760	40037400
40351be0	4009ea00
40084ba0	402e72e0
c09f34c0	c08829a0
408f95e0	c079f700
c035d260	3ecf9400
40d84f70	40960670
bff164c0	40d9ec50
bfa29c80	c0f85f90
c0248aa0	3fc58bc0
bf736e00	c05367a0
40401fe0	4056a160
c07b9040	40729ca0
3dc4bc00	4077b9e0
bf49df00	be9f5c00
c063eea0	c107c5c8
402fab00	40daaf80
c0b97240	bfaa5600
4014db20	3fecd2c0
be0e8c00	c03702e0
bedfb700	c1026590
40144740	c03682a0
3ced0000	bff56ec0
4052a3a0	40d450e0
c0a06bc0	402dc0e0
40b6b850	c08eae80
c068d3a0	3fea2680
40abd100	c062e080
3f1a5e00	401eb340
40c36580	40154860
bf3d4600	40199540
412e1118	c095bfb0
c0a22c90	c031bf60
40106bc0	bf415d00
bedf6400	3fd26ec0
4122f5c8	40bd2640
3fc8ba80	40439900
c01985c0	bf17fe00
bf969ec0	3dd1a000
3f8422c0	405cbe80
41044618	c0a8ca50
40a622b0	3fcc0380
c0aaf420	c087d050
403359a0	c0e28e70
408063a0	c0224b60
bf318980	c0392b40
c0b2a020	3fb0c9c0
bf8c8dc0	bfe6d8c0
c0314da0	3fb95800
c0285060	bfb6b000
3f68e700	bf836080
40c99430	406d0040
3e90be00	3f639100
3da96000	4091a6c0
c0bed880	403e81e0
bf885700	c0c6b890
bfd050c0	40695a80
c05a9100	4032eb60
c01bf500	410428c0
40a65390	3f9cca80
c0fc1050	bf8aab00
c0271e20	c0187c40
c0913750	bfbf6f40
4048a120	3f958580
c074c460	3e8a4300
403309a0	c0575540
c0e6de80	c08fc9d0
4084c110	bfa1cf00
3f623100	3efc0400
4080f130	bfdca900
406fffc0	bfa99780
4016dd80	bf9eb7c0
bfb9e600	bf7c7080
c05a0e60	3db1a000
bfaa6680	3fffc380
be952f00	3f278400
3f7b5780	bf95d000
4088f180	3f626480
3fdcb2c0	c0027ae0
3f05ed00	3f1e0f80
c090d4d0	c00c1a00
3f9489c0	41352a50
400486e0	c04e0820
c025d520	3f7bee00
3f8f9600	405f1460
c07dc0c0	408ff750
bfe38040	c07af180
c006f5a0	3fc7fb80
be4af200	40d27d00
bf5a0480	407cc0c0
40e6b9d0	3ebc0c00
3facf4c0	c032b440
be601a00	bff0c7c0
c0a234a0	408634b0
c0deb640	c0614080
bfed8080	3f931540
c1171850	bf900ac0
3f028f80	3e8f6900
c09f9120	c00f0500
400669a0	c0426180
bebf5200	407998e0
3fb19dc0	4085aa10
400ab500	c0882ed0
bfcc1740	c0d96b30
407281e0	bde25800
c138cea0	3ff3c1c0
c0cdd7b0	c0a751b0
3ffca180	c06a7b20
bfdb0740	c07a94c0
c0163700	40c2c380
401a0fa0	4020eb00
3fa73100	40bd4800
c0f5b450	bf338780
c0083c60	bfae5b00
bdec9400	c0bea860
40f47710	c14d8e80
c07a4880	bff0ae80
40e188e0	40050700
4080bd80	bfd504c0
c122c0a0	4077a8e0
3f7bed80	3e9a3a00
402dfa40	3fa22f80
40839730	c01be1a0
c0c5c420	c01e4fa0
c0b7fb30	c11a2418
c0415120	410384c0
4072fbe0	c006f7c0
40286de0	bfe776c0
bff682c0	40265540
be9f5e00	bec9ee00
40ddbeb0	c0e35c20
c08e89f0	c0e228e0
3f39ed00	c0177a80
40394160	3fd511c0
c0a391a0	c0dba740
bfed2340	408cff80
40e67bb0	c005dfe0
3f050a80	c11eba70
c08dd810	40aa41f0
40da09b0	c053e540
3f632080	3fac86c0
c05bb1a0	40d7f3a0
c07e8e20	3ec8f700
bfebe680	40a31c70
c00ed580	c0d0b320
3fe81c00	bf98f280
be395a00	40c361c0
c01f4f60	c03401a0
c0a36950	3ea5fa00
4080c560	c0a39de0
c01f5ee0	c09ccee0
c0bb7e30	402f14c0
c0e60c20	bf35f500
3ec74000	40c098c0
c0e870d0	bfe274c0
3fb1c040	4039e7a0
bfb0c7c0	c08f34c0
beec9100	40578da0
c09eab70	bed9cb00
bfee4300	4080df20
c08663d0	3ed1b900
401f7d40	40bb4100
bfeaa540	c0ea8aa0
3fb9ebc0	40ac6a00
c0938c80	c04a7740
40cb0740	c0734180
bf2e1800	c01e2900
c0988be0	be5e1e00
c0bc32d0	4020f5a0
4048b4e0	c0169e00
3ea0f000	be4a5600
3f731c80	bede7700
c0adf3b0	c0177440
40af5210	c02bab80
3e775600	3d867800
3f7c1f00	c018f1e0
3e070e00	c0c31a30
bf17dd80	c0bf0850
c038c4e0	40365f00
c08aa5b0	40853680
4017cc40	3f3d8d00
3fad8f00	3f3db380
bf232c80	c005bb60
4010f760	c109cd20
40834090	40213b20
4040c740	40b01df0
402c0500	c10a72f0
3e853500	bf83a580
3eb5ac00	3ff758c0
3f560a00	c077c9e0
befde500	c0209bc0
bc0fe000	40388180
be9fb500	c09b6ac0
c0b322c0	c05dbe20
c0655ee0	beaf3f00
bec85c00	c0071140
40a279d0	c0ef6110
3eda8700	c05b3c20
3ff08440	c056e680
4065f720	3fa98b80
bf2dd980	c00677e0
3e090000	bec78600
3f2b0980	c04d8de0
c00c39a0	4078fa40
c0def4d0	c0266d80
3fd12600	c043aa60
bff38c00	c0373180
c0813a20	c0d26900
c0b9e1d0	3efb8c00
3f5b2d00	bf640580
40269800	40be6c10
c0061c60	411958c8
40de9be0	4003d980
3fbd4cc0	40d8e870
bf9e8d00	c0d90280
bf060b80	c0714460
c084c620	c09123f0
406e0c60	4065ae20
bf983f00	c04f5480
40b22fc0	bec2b100
c0969cc0	3e455c00
c0f71fe0	3f812ec0
c11b0b00	c081df00
c0624420	40db60e0
bf007380	4082bc50
c0125560	c0e37390
3bcf8000	c0897480
bebb2a00	c0cc2d70
4016e480	c0424de0
c07c0e40	c03876e0
c07660a0	3f7fc600
40116840	3e953300
c0adc210	40e67e10
406c5180	400b44c0
3fe91340	bf33af00
4062e1a0	4097bbd0
3f61d000	3faff940
40a44d50	4000b200
3f21e180	408e3360
c01cdac0	bff50c80
c0597500	c0d318e0
c02579a0	3fd29780
3fa63bc0	3fb7cc00
bf91f300	3f28ed00
3fffe7c0	3fa1c900
40a48710	3fad6c80
c09b0480	c11115c8
bf369400	3f240f00
3ebc5c00	bf52a980
c09f5b00	bfd51400
40282460	4051d680
3fbe2cc0	3dbb1800
3ff59e00	c0e39f40
bf8cdc40	c03c1ec0
40360160	3fdd3180
4007faa0	c0a379d0
c0a089a0	40cc0850
c07606a0	402f9820
befd9400	40631f80
c0420d60	c0cead60
bd8f0000	c0070da0
408eb3d0	408ac2b0
c0750ce0	c1112760
c0c92f50	40a39dc0
403400a0	3fc6dcc0
40f7ec70	c1225328
3f3af780	40857b50
c085e4b0	c0e64250
bffe9080	c0631900
c088a2c0	c09d4f30
c102ac78	c02712c0
c118e480	4031ad60
bf8b7f40	3fd22740
4112c608	40c433b0
bfc30fc0	bf64ea80
402a3480	c1176640
c100a1a8	409337d0
3fd58c00	c0a78e10
c04adc80	3ff7ab80
c1220c88	c0ef2bd0
c0c4a4e0	c086a120
c0280980	40c2ef70
c0be4a20	bfb92d40
c1201730	3faf0b40
bf818600	c0ad5150
3e1ac400	c0370380
c1036a68	3e68d000
c083a1a0	3ff29440
40a28100	4101eb60
c01dd780	bf4aba80
c078d560	403c8800
406abe20	3fa0e580
3febf5c0	3fc22140
c0dc4a60	3f9af5c0
becad900	c0872d00
c013e9c0	c05248c0
3f5c2d00	bef26000
3f8ff580	401555c0
400da160	bff1ef00
401de840	408e9ab0
404f2800	3f0e4080
c0d134f0	c08d7010
bfa6d480	c10a3b58
bfef6d80	c091b160
c096dba0	40c824c0
40026420	407ea540
bf999c80	bfc05740
408371c0	3e4a7800
c1284a70	418c5bf8
40341720	3fc06d40
c0bfd9c0	c0796da0
c07d9320	3f518600
c06bd9a0	3f300000
40888e10	40040d60
bfff44c0	c01107c0
3d1d7800	400ba860
c075b600	3f7fd980
bf9db980	c0488600
3e92b100	4055b780
400b1da0	401d14c0
c06d9760	406f5500
3f360f80	40f70ab0
3fe1f3c0	c09b6050
bf734d80	bfa15a40
c09b0910	c04d56a0
3f8b9b00	c0effdf0
c0237940	c064be20
402cdd80	40b6f860
bf223680	3fde84c0
4022e4c0	c0b3c6c0
bff2ae80	3f2ced00
c029d2a0	bf6cfd00
40488580	c0bb3920
bedb5d00	41049df0
befe1300	c06b0c20
40a5b7d0	41054d18
c0a8b640	403f2160
3f851740	4082e0b0
3e73f200	be8da600
bfd6b4c0	bea95e00
be05c600	3f98e580
40bac210	3e80ed00
c0894cf0	3f571980
3f9c54c0	bdfd0000
c063d5e0	3f29da00
3f263c00	409952a0
c12dbd90	c02833e0
408b25f0	c0faedf0
bc744000	407ae560
bfdb9740	c051b940
c04efd20	410974c0
bf9d3a80	c0a60c70
40202320	40b8a8f0
c01983a0	bf090100
c09df660	c03ff2e0
409e2250	403da0a0
c01b3b40	40ded6c0
c0321840	402ad0e0
bed80500	4079d6c0
4080cd60	3ff68000
40c35c90	c0962930
bf48b880	408f94b0
bff4b740	bf092800
3f91e680	c05ce4e0
400cb4e0	c0b40d00
c0c3ffb0	c103b398
3f503700	40534fa0
40e4d5b0	403f9b00
c03fa460	40873fd0
c06c0400	c0b7f280
c00d5740	3ebce300
3f890ac0	407aa1e0
bff61f00	40856370
bf748800	3c9fb000
c0c81690	40ac4250
c0bbabb0	40215c60
beeed300	40213920
bfd28ec0	40033ce0
c0d32850	c076b300
3d999c00	3e966000
3f9a1140	c0a0db50
40471120	bf037d00
bf5b4b80	3d939000
bfab6800	4073d860
3d71e800	40455aa0
c05652c0	40be5190
3f29e400	c0022ea0
c011fb00	c03dea40
c0c03190	40c47020
c0790980	3f0fb480
c0a5fd10	40aaaff0
bfd1a200	bfd81980
bfee4280	c0441880
409698f0	c00644e0
3f8f6380	40274280
be28e600	bf75b300
3fafea00	bfa46600
406b17e0	c0e94810
bffe0d40	c0c49850
40839ca0	3fde1ec0
407cfb60	4002df40
c0081780	c113cc18
3dd95c00	404d99e0
40416840	c04e1c00
c02d28c0	c082a060
40401160	c0db1e90
c10d0c90	c0828120
c0bb1be0	c13434a8
c0b5f820	4059cd40
40461d40	407a5280
401ecd80	c1031e70
bff65300	bf83f9c0
401b0f80	40a62a80
4002dda0	3fc84140
3f8ebdc0	40e9d280
3fc48800	bebaaa00
40a6c6e0	40627560
befef400	4045a4a0
3fece780	be83ff00
c0a02be0	c05342e0
401ce760	bffd6c00
bf6fcb00	c079b5e0
3f564480	c00d7120
c0702fc0	bfa5ca40
c08e6f50	c082a440
3f216c80	40866d80
401439c0	3f042580
407b5b40	3ffa7480
bf6acd80	c0890270
c08f2980	bf2dcb80
c07a2bc0	bf18b380
beb13c00	c0017160
c0035580	bfe37500
4032e480	40532d20
3f27b900	3fd361c0
bf685580	c0b836a0
40846df0	3fda7a80
3f246c80	c0303760
c0ebe150	4015e6e0
3f3a8a80	c0870980
c0c949b0	3fa7cbc0
bf14da80	3fd85240
be510000	406712c0
bfcc3e80	c0529160
c05f3ae0	400d55e0
bfec0a80	c0863380
3ea23100	407963c0
bf21cf80	3fe0a140
3f9e2440	c0c7ba00
40ca9410	c006a260
c0ca45b0	c010fc40
bfba3d00	c03f4920
3ec56b00	c025c220
407d70c0	403967a0
3e959b00	c0535cc0
40a76470	c01a3a20
c06b3800	3fbde140
bf82c1c0	403f7ba0
c0225620	becedb00
4058aac0	410e54b8
3f9a7940	bfbadf80
befbe000	c072f760
3fb35900	bf76a600
40039540	3e7b9800
c03edfa0	40626380
bf902d80	40d05ef0
be7bc400	c0a8f4a0
412ae1a8	3ea78000
3e10c200	c01095c0
3cc10000	403e2e00
c09111e0	c0876420
c08fd440	bf172c00
c0417740	3f50e280
bf136a80	befc4600
c097af90	406f4660
40077620	4049ff40
c0b4ab20	3e962800
c008c7e0	c0b3b0c0
3f5f7400	3fc1c540
411588c0	3f65f880
3f979bc0	c0053da0
bfad6ec0	c03229c0
bf661b80	bfb3e0c0
c03fe8e0	bfeed680
bfa62ac0	410b20a8
bff19300	c0fdee60
3fba1500	c0772ea0
3fc532c0	c0a9b4d0
c09ade70	c0802160
c00399e0	405d89c0
4014b400	bf8ec800
40de1800	bf4c6d80
bedd6000	bf380080
bf9114c0	c119dcd8
c0eb6530	3f87e200
414866a0	3f0b9c00
400a6dc0	c0dee4e0
be839d00	3fe6a300
c01bc060	3dedec00
c0d877f0	4091bad0
40a8db40	3e9c3e00
c0936ec0	c0186160
c09279d0	3fc39500
3d84fc00	c003d4a0
3feb6040	4013d1c0
40cffb70	c0555680
c04e3f80	3fdc0400
408669a0	bf9f9200
3fd175c0	c0086ca0
c0ed2750	400ace00
40d70a00	bfacd140
402a3240	40424940
c039e280	c1092630
c0179bc0	bf477980
c08daa00	c00abea0
3fe78bc0	c0523f60
40721260	3e8f3000
c07d7000	c0505640
408ce0e0	c059fae0
beea3b00	4052bce0
c014e7c0	c01a7300
c0bf0640	3fed9640
40734260	bfc67ac0
400df180	c0adc5f0
40b4ad20	c01bcee0
c04fd740	3fb9f200
3fa09140	c02c8660
40727820	3fdb6000
be29b400	40326b20
bf956640	408ac390
40a5f150	403804e0
3f1af800	3ea77f00
c01e3540	c0b26060
4038e060	4091dc70
c064a5a0	40c71790
c08c7a10	c0b3dbc0
40baa4e0	c012d8c0
bfe8f540	404932e0
c01a2000	bec8b100
40354940	3f942b40
40839e20	40afeb20
bf0fb100	c06a2260
40314100	400bbf80
c01ee3a0	408b7880
c03d3260	3fb04240
3fa14d00	c067a7e0
3d0d4800	c0988840
bfb45dc0	40873060
c06e1ae0	c08c33e0
408d6360	bf072580
41382b38	be86a000
4018f6a0	c08c6630
3f5d3e80	407690a0
c0694780	bfe5d600
c0d00f20	40179a20
c0d79500	3ff99440
bf0f0100	c016d8a0
40a9e2c0	3f99b3c0
bfc084c0	404b0820
3f367400	bebf4d00
408c9dc0	4006e5a0
bf007f80	c0895290
40061940	bfda5480
bf4ffd80	4110bb10
40bd7cf0	c11c59d8
c084c720	40336920
c130c6c0	c0a65f80
c06d4cc0	3fa71fc0
bfa86c40	3d324000
3fed0880	3f8dcac0
c05dd8c0	bfa5a940
3ff9a700	c020bea0
40c92f30	c0c7c620
403efce0	bea37300
3f7a8900	40f98010
be4ede00	3fce7480
bf681c00	c09c3100
c05e0720	bf13f600
c09c1ee0	c0906b20
40b102f0	3fc8e300
3f988100	bf669b80
3f7b6400	4099abb0
c10f5fd8	40daba50
40b6f7f0	4087e050
c053ecc0	be9d1a00
c11c7c50	402cf5a0
bfbd8200	c089d880
bf94c400	411861f0
c0920760	c0684e80
c0be2380	3fd2ffc0
c0c8ca00	c078e280
c07c3460	c0d1fc00
408a6bd0	40d34090
40974150	bf05d180
c0c581d0	40154180
3f1d9480	be83bc00
c001b180	c072c960
40d4bee0	c00825c0
c05a6aa0	40880b30
c02ac540	c0eea9f0
c02e6760	bff02b80
bfb94b40	3e1a8600
c1125760	bfb6dd80
4040d700	c0fca700
c0c467b0	3f153280
3f941980	40499f80
c0a206d0	4004b400
bf7f2700	40efcd40
c123bc20	4058e5a0
40514f20	3f022e00
c0739580	c0b50700
40d2a220	bfa517c0
404fe3e0	bfe0cec0
c067a560	40973730
401723a0	3f022d80
3f557500	bf94ee40
c0c20ef0	3e5d2200
40208aa0	40187860
c06f8fc0	3fa02dc0
4095dca0	be8abb00
4132f838	bfea6dc0
c084aba0	c028b540
bfc41680	c0d849b0
bfd52300	400558c0
bfc95300	c04ac8e0
3f512d80	bdb17800
40780960	40c27370
c0445380	bf12b900
c03f8bc0	3f90c340
3f8f3640	c0639fe0
400ce020	bf503080
be13b000	3fd08c80
40a7f8b0	bfe23400
4011f5c0	3f872940
3f507400	c0b239f0
c07abd00	c05a9f60
40f550d0	bf92cec0
3f1d4880	bf3d1e80
c03b1f00	3fffd500
bf9319c0	bf6bc580
c0aca9f0	c0562c40
3fae3b00	c05be640
c0b93250	c00578e0
3f121700	bfd83840
c0a6eac0	c0260300
bd9b6c00	40294e80
c01bf9a0	bf721200
408c0960	c0082040
407b7de0	411576b8
3ff76cc0	40907f00
40895a40	c0a054f0
c0885910	3f972e00
c054d7a0	3fd46940
c112aae0	403307c0
be66ca00	4095acd0
40b7f190	bfbfcf80
3fc4e680	c00d3b80
bfafdf40	408e1280
40fbe270	bde25c00
3f918f80	c0d8f940
c030dd20	3f8ee4c0
4039b680	3f9fa580
c05811e0	40801310
3fd6f700	c02dc1c0
3f9898c0	c09556b0
3fdd68c0	c00eaa40
3f57f400	c09a6bc0
400d3880	c0a067f0
40e86540	409c99d0
40290860	bfc2d880
c08cfcf0	c0090cc0
bf543900	40640ca0
3f248d00	414da428
3fe74040	403621a0
40d639b0	c047fa60
402e81c0	bfdc8900
c051a940	c01c91e0
3fac54c0	c0c02e60
c09f2e40	c0088240
c04f0c60	c0f848f0
3e9c0700	401e5240
c0752a00	bf4f1c80
bea77200	3fd787c0
3f012600	bfc4efc0
c02c8760	bfec80c0
bf3bf080	c0494fe0
4046cb80	bfa1d040
c10ac318	40317a00
3ffac780	40dbe5b0
407bfdc0	c0db0c00
c043f1c0	400773c0
bf54b180	c0c04b70
3f81b140	bfa479c0
4040f880	c01faae0
3ed9a000	3fe523c0
c0223fa0	3f5c9280
3fa0b400	c0c5f230
40b0bb20	c0154700
c00ef7a0	40844a00
c0c7e690	403ec000
c03f0420	4064ba80
bf9da840	c09f5830
c0529b40	bfd00200
4057b520	c074e860
bf398380	c038d040
bf55e380	c0c8aa60
c0945fa0	409ae070
c0b00630	c0be7e80
3ccb4000	c0575a80
401da420	c0818700
c0e3dd00	c0ef7190
c0b7a270	3f425900
c0a29110	3fbb8ac0
bea2e900	bfcbab00
40781c40	40fcc4f0
bf2cc500	bfe1c7c0
4005a6a0	4057d340
bf34af00	3fc41380
40006e00	3f342600
40782a60	c0106440
40c48d50	c01daf00
bf8e4600	bf2d2000
41200168	40325be0
400b9e20	409b87a0
c102c8a8	bfb3f0c0
40a26ee0	40853a70
c03bae80	c1100d90
40a25e80	3e8b6100
3fcd5a40	3cd70000
3fdc2a40	c090de30
407c41a0	c0127840
c1009b70	bf38dd80
c008d8e0	bf06db00
badc0000	c0227fa0
c0213e20	c01148e0
bf853500	c0a701d0
c0936130	bfdb3340
4036cac0	3c426000
40636960	3fa36740
c122aea8	c0266180
c0892320	c0655360
c0211840	c099c4a0
bf8a2700	c01aafc0
c00bce20	bf96f380
c09fbaa0	bfcccf40
40679e60	be172200
408188f0	3f257c00
bf5db280	3fe92440
bf600200	3f322e80
c0112c40	40441d20
bef92e00	bdca9000
c013e440	4028c6a0
c071ee40	40fb5000
bdb23800	40ce23d0
c0ca5fa0	3f8e5000
c0b93d20	4091f340
c0d106a0	c05d0ae0
408217d0	c0d951b0
bfb9b200	3e907300
bfec99c0	c0622520
3f585080	bf6cc800
3e06c200	c00314c0
bfcce100	3f60c800
40144b00	bf8cc700
c0463640	3f928900
3fe54e00	c020e560
c0f8c9e0	40d67ba0
3ff9af40	c0e3fb30
c100e2e8	bf365280
3ff38180	c07de020
3f83ee40	bfeb02c0
3f254600	3fbc8f00
3fc1fe00	bf22af80
bf623580	bf87fbc0
c0741e00	409b33d0
c02fd420	c0d65d40
c05088a0	bfc6c900
4015f660	c0d02990
c073ab80	40080940
3fa4adc0	40398280
3c730000	c01cbfe0
bf008a00	3fce0740
c00bcb40	3f9be200
c037d980	40d3f9e0
c051d620	c06214e0
40a154c0	bf289200
3f332300	bf305b80
40e83890	bfd416c0
409e8c20	bf941480
c047ab20	3fb80840
c07ccc00	c00b35a0
c0adf230	c0203120
befa0500	c02f0100
bfac8a80	3f9cda00
bf0f8880	3fffce00
bf960200	3fc3f880
3dab6800	bfa36d80
be98ec00	c0bf1200
4112a6f0	c094a5e0
c0459060	c017d8e0
c093a9c0	c0cd9840
bf3a6e00	401e6460
4071d7a0	4048f1c0
c0431ce0	4047d740
c0aaaa80	be919100
