Real	Imaginary
3f5b0200	c07d35a0
bfd33980	c1069580
40a5bcf0	40547980
bfb33dc0	410debf8
c0da2240	40bec390
c0b488f0	c07d2300
bff6be00	3d961c00
c02d5d80	3f8d2d40
bfc9c580	c0d11f50
3fc12600	401a2be0
40d11120	c0d6ed80
c0223360	409aa160
3ffc4f80	be422a00
c04129a0	406ecec0
bf9ee640	c0f583e0
3fb75d00	c142df48
bfc94240	bf5a1200
c05150a0	c0f37f10
c03d6e20	c0d26da0
3f89ef40	40b0ef30
c10b5a20	c056ae40
c00d68e0	3fc2c7c0
3fbc2e00	3dbac000
402cf2a0	3f935300
4128d9a0	c0b60fc0
c0ef0d40	40bb43b0
beec7f00	bfb02180
c0577c60	bfa1c240
c0bd3650	c05df5e0
c01499e0	410129a0
c113bf78	bf53eb80
c07eb020	bf160100
c041a660	c077b9a0
c0adb8e0	bf8b8f80
bf3b1900	c06a3980
c093b550	40bf40b0
bf39ca00	400cb300
408671e0	40192020
3d401800	bfba0500
3e13ee00	40c83230
c04023e0	3fce5bc0
c0a77c40	c0968050
be1f9600	c10e7a78
402ad440	3f84f080
bf9f1640	3f309800
c03eb180	40c88f80
3f305b00	bfe52e00
3f82dd00	c03185e0
3f521080	c0f715a0
40f05b30	3f5acd00
40b130b0	bfcde500
40916f80	4022ebe0
c126c398	c07c6020
409d1980	407aa180
401c8740	4088cf40
3f887a00	4032cd20
3f8a1b80	401c8e20
c0a92840	bfa1d340
406e55a0	bf6a2b00
40d22360	befd7500
404764a0	c09bc390
3fc1d8c0	40804040
40996700	bf98da40
bf5e3680	bfdf3240
bf00fb00	3fe07d40
c09ac650	3f451a00
c0b88e80	c0437840
4096ee50	401c9020
c08e58e0	409f6f80
c10192f0	4019c860
c022f940	c0b7e020
4064ece0	bfab6500
c00ac740	403f9480
3e84d000	41188390
3fe43300	c04edaa0
40b2d610	bf3bce80
404e3d80	bffa6000
40a77bd0	bf604a80
c05beb00	3fe12400
c001f0c0	3fddd280
c0912f90	bcd18000
bf58c900	bf18cb80
4007ea20	c05e6ae0
402af3a0	be905a00
40a26d80	bf18a700
3fbcc480	c03305e0
c0193120	3f2c5200
3d45b800	c0e24010
c0831fd0	40644960
40902110	be378800
c06faa80	c10945e0
403f27e0	40ed6200
4039b6a0	c0bb84a0
c10e2410	407e2c60
40fc1710	4093e0f0
c0d82f80	bf100080
403bcbe0	40b83f60
c06388e0	c0d7bb50
c0744120	c07fe5c0
3ff0ea00	bfcbee40
3fc98100	c0ed3540
c0b2bd70	be489000
3fbdac80	4089fe40
c011b420	3f911a80
3fb1c4c0	c0265e20
c0a020c0	4019d640
c01eea40	c0e3d560
3dece400	be74ec00
c0a1fab0	c022ab20
406055a0	3fa77e40
3f4d0700	bfa47e40
40283920	40251180
c060e880	3efd0200
3fd1b840	c061df40
3f943380	3fb6ac80
3fbdd740	3fa3b500
c092acd0	c103a798
c0999000	bd924800
3f8c7940	c0052b00
409408e0	c05306a0
c0f9cce0	c0d52260
bd9bfc00	c0579d40
3fcc1e80	c04c7720
409a73d0	4109c450
c0a0c620	be9ec100
40fc9dd0	40e274f0
bff29c80	bf14c900
3e1f6600	4087c2c0
3fbafb80	be99b400
be6cbe00	3fa822c0
3f669c80	bfe833c0
be990a00	c0969c70
c042f780	c05a5780
40765120	bff2a740
3f0ba780	3e52e200
c0341800	40d5baf0
c06a84e0	c0f9e3c0
c07fb440	be83a700
402ce420	3ed73400
3fd511c0	3f4ced00
bfbe6100	bf010700
bbcd8000	bfdd9fc0
c0f34890	3f1a2d00
403226c0	407afd80
4045a9c0	3e67c600
3ebd1400	bf850380
3f881ec0	bf284600
409310c0	409a7050
4091ec30	41199388
c05da480	410186b8
bfde50c0	bf8572c0
bfa91500	40277cc0
40105900	403d02e0
c09e71b0	40af7bf0
3f32b800	c108a178
401fee60	40192240
406dc6e0	40d671b0
bd6bd000	4080d740
c023a400	c00c5fa0
3feab5c0	c10ae310
40512980	c0e8bb50
406f34a0	c07faac0
c07dcc00	bfc95f80
4091af60	3f7ac000
403abd00	40825fa0
c08992d0	c1085280
3fe0d200	40b278c0
4054fc20	3f183600
c0dadca0	bf303300
bfb4a600	408ba880
4006ae40	40b102d0
3d627000	c0ff94a0
c05884c0	c016be00
c02ab620	c0901460
c0cf62b0	bf13d780
40a99d60	be001200
4127cdf8	3f802ec0
402359e0	c0579ca0
4041a3c0	40197fc0
3f798c80	c011c8c0
3e787200	c005c820
40475200	406418c0
3fba4e00	40517aa0
40409160	3f0a5380
c08ae100	3f85b2c0
4080f1c0	bea13600
bf8dcd00	bef5c100
3eb53400	3f2c3400
c040f880	bf8a24c0
bf85efc0	bf193200
4095e750	bfd91b00
c13b6708	40e93660
41245e98	3f14c480
bfe2bf40	c0ac4e50
410761f0	3e966300
4017a180	bf7ba600
c07b1080	405e18c0
3fd87680	403216e0
c10f0970	c1112230
3fe95ec0	3fac1680
c0742a20	c034c000
c0dc24b0	c051c620
c06d24c0	c08adc70
401d79c0	40074340
c0240440	bf312580
c05bc180	c0a85630
c0c1f850	4053c700
3f74f180	408b0620
3fb1c300	40ba8a30
40a9f140	40fef640
c00121c0	bfa01980
3fba3a00	bf7b8280
c09ed300	40c129c0
40a463f0	beff4600
c038d040	c03642c0
bfbd9780	bed92700
bf59bb00	4058bf40
408694f0	3f61f200
4006d940	40328400
bff856c0	c08ab130
4018a480	4003c820
c0109640	410567e8
40e45e00	40b07e50
c09b48e0	c0884d40
403ebe20	40c231b0
4082dc10	c04fe4a0
40bdf050	c01d3000
3ff02440	c0901270
40134320	c041a700
40b4a4b0	bf4b6c00
bf28d680	c0a0b250
4085ec90	c0130b40
4112bb68	bfdcfd80
c00aa2a0	4021af00
befb6100	bf7b6a80
c06eebc0	3d516000
bf45ba00	c0bbd360
c1007c18	bf89cd00
bf5a4880	40d740e0
c068e320	be32be00
bfa6c100	c0a61010
3f59d900	40798b40
3ebafd00	3f42f600
40c02300	405feb00
40163980	3ea3cc00
bf3ef900	3f20c200
c06b69a0	40aa20b0
bea41200	40e61d40
4069daa0	c0266920
406b4860	be327400
3e5eaa00	bf0f1480
c05837a0	3f085f00
c03a78c0	c13fb6b8
c1192418	c0193c00
c0a68ab0	3fc7ac00
40489980	3fa117c0
c01e8f40	3f3a4280
c044dc00	bce89000
3fcf57c0	3ed31700
bfba9780	40ad4640
c05398a0	c0a30e00
40aa4a70	3d027000
4040b8a0	beeec800
410a8328	404a4360
bee27300	3eb72d00
40b48230	bf88b800
c08c3020	3f0a1480
408260c0	c02c6560
c033fac0	c0bf2200
40fb4640	3fb9bd00
40451a80	c04d9b20
bf1cc480	bee59b00
3f9143c0	c019fc00
40b39280	c0a84820
c0c3aad0	c0532ae0
40562500	3f85bb00
c0c32c90	c0bbbc00
3fe04840	c024e980
c08a9430	c0172c00
c04e8500	40d80f90
407a6e20	c08df110
4024e820	c0708840
c0145480	c01d4040
3fd1bf80	bfd95680
c0849810	bc84f000
40bdbfb0	c0c36200
408a7560	c0d00ba0
c0b090d0	3f102500
40487020	3fcd8c00
bee54600	c034d960
3f309780	3fa708c0
c0036d60	404ff9e0
c04b61a0	c10f8580
c09e4ee0	c08449a0
404b4bc0	c00905c0
408697d0	4084cab0
bfc97f00	c09f78c0
407c1080	4075bac0
3fe365c0	c10e4600
bf35ea00	40ee6280
c0854690	c029b520
3fbf05c0	bffd47c0
3fb1f9c0	40c3abc0
404187c0	bf0eb180
40bb9eb0	40abd870
3fbba540	c05f6ee0
be5d0e00	c0a3c220
40a7cd80	408db530
3ff48d80	becbe200
40149f20	3fc1bf80
c046c960	3fc59d80
40ceefc0	3e806b00
3f2e9600	bfb90740
bff8da80	c08b7ca0
c0483280	40836f40
c04b9880	40a42b20
c112f538	c03137a0
40121ea0	3eab5300
40b954d0	3f0b6380
c04e1e60	bfaacbc0
c0696860	409a9200
3e71be00	403ab140
409ae920	c111d5b8
c03727c0	beb1e900
